Text_ID,Headlines_Sentiment,GPE_entities
1,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.4939}",[]
2,"{'neg': 0.242, 'neu': 0.645, 'pos': 0.113, 'compound': -0.5267}",[]
4,"{'neg': 0.266, 'neu': 0.591, 'pos': 0.143, 'compound': -0.3595}",[]
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['Tehran', 'USA']"
7,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.5423}",[]
13,"{'neg': 0.146, 'neu': 0.625, 'pos': 0.229, 'compound': 0.296}",[]
14,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}",[]
17,"{'neg': 0.44, 'neu': 0.4, 'pos': 0.16, 'compound': -0.7088}",[]
18,"{'neg': 0.241, 'neu': 0.502, 'pos': 0.257, 'compound': 0.1111}",[]
22,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}",[]
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
30,"{'neg': 0.302, 'neu': 0.605, 'pos': 0.093, 'compound': -0.6705}",[]
32,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.4767}",[]
33,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",[]
34,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}","['UK', 'Russia']"
35,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.593}",[]
36,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5267}",[]
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
39,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}",[]
40,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",[]
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
44,"{'neg': 0.228, 'neu': 0.468, 'pos': 0.304, 'compound': 0.0772}",[]
46,"{'neg': 0.316, 'neu': 0.506, 'pos': 0.177, 'compound': -0.296}",[]
49,"{'neg': 0.1, 'neu': 0.849, 'pos': 0.05, 'compound': -0.3182}",[]
