Text_ID,Headlines_Sentiment,GPE_entities
3,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",['Paris']
5,"{'neg': 0.243, 'neu': 0.654, 'pos': 0.103, 'compound': -0.3612}",[]
8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['Britain']
9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['Iran']
11,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.34}",['Iowa']
12,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.7717}",[]
15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
19,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.2755}",['Iran']
20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['America']
21,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}",[]
23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
24,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}",[]
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['W. Va.']
28,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.4973}",[]
29,"{'neg': 0.296, 'neu': 0.609, 'pos': 0.096, 'compound': -0.6808}",[]
31,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",[]
41,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.4588}",[]
42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
45,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.4215}",[]
47,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.128}",['Afghanistan']
48,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}",[]
51,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.1027}",[]
52,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.5106}",[]
56,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",[]
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
60,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.6361}",[]
62,"{'neg': 0.265, 'neu': 0.482, 'pos': 0.253, 'compound': -0.0258}",[]
63,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
65,"{'neg': 0.327, 'neu': 0.673, 'pos': 0.0, 'compound': -0.5267}",[]
66,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
68,"{'neg': 0.208, 'neu': 0.56, 'pos': 0.232, 'compound': 0.0772}",[]
69,"{'neg': 0.141, 'neu': 0.759, 'pos': 0.1, 'compound': -0.1546}",['Orlando']
71,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
73,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
74,"{'neg': 0.336, 'neu': 0.664, 'pos': 0.0, 'compound': -0.7964}",['South Carolina']
76,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}",[]
77,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
78,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
81,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5106}",[]
82,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.1779}",[]
83,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
85,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}",[]
86,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
87,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.5574}",[]
88,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
89,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}","['Selma', 'America']"
90,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
91,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.128}",[]
94,"{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.4585}",[]
95,"{'neg': 0.521, 'neu': 0.479, 'pos': 0.0, 'compound': -0.8271}",[]
98,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.34}",[]
99,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
100,"{'neg': 0.273, 'neu': 0.435, 'pos': 0.292, 'compound': 0.0772}",['Iraq']
101,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
103,"{'neg': 0.303, 'neu': 0.618, 'pos': 0.079, 'compound': -0.6124}",[]
104,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
105,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.1027}",[]
106,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
111,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
112,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.6705}",['Belgium']
116,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.2584}",['San Francisco']
117,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.1695}",[]
120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
121,"{'neg': 0.427, 'neu': 0.573, 'pos': 0.0, 'compound': -0.7717}",['US']
123,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
126,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3818}",[]
127,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['Rubio', 'Kasich']"
131,"{'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.8074}",[]
133,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['Syria']
134,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.5859}",['US']
139,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
142,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}",[]
144,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
146,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['Iran']
151,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
155,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2732}",[]
157,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",[]
158,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",[]
159,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5267}",[]
161,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
162,"{'neg': 0.171, 'neu': 0.44, 'pos': 0.389, 'compound': 0.6096}",['US']
165,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
167,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}",['Iran']
170,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
174,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2263}",[]
177,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",['Charleston']
179,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
181,"{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.3182}",['Connecticut']
182,"{'neg': 0.339, 'neu': 0.661, 'pos': 0.0, 'compound': -0.4767}",[]
183,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['Iran']
185,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.2846}",[]
186,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[]
187,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.5267}",[]
188,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",[]
190,"{'neg': 0.456, 'neu': 0.544, 'pos': 0.0, 'compound': -0.7061}",[]
191,"{'neg': 0.408, 'neu': 0.376, 'pos': 0.216, 'compound': -0.6776}",[]
